,Junction,Vehicles,ID
01-11-2015 00:00,1,15,20151101001
01-11-2015 01:00,1,13,20151101011
,1,10,20151101021
01-11-2015 03:00,1,7,20151101031
01-11-2015 04:00,1,9,20151101041
01-11-2015 05:00,1,6,20151101051
01-11-2015 06:00,1,9,20151101061
01-11-2015 07:00,1,8,20151101071
01-11-2015 08:00,1,11,20151101081
01-11-2015 09:00,1,12,20151101091
01-11-2015 10:00,1,15,20151101101
01-11-2015 11:00,1,17,20151101111
01-11-2015 12:00,1,16,20151101121
01-11-2015 13:00,1,15,20151101131
01-11-2015 14:00,1,16,20151101141
01-11-2015 15:00,1,12,20151101151
01-11-2015 16:00,1,12,20151101161
01-11-2015 17:00,1,16,20151101171
01-11-2015 18:00,1,17,20151101181
01-11-2015 19:00,1,20,20151101191
01-11-2015 20:00,1,17,20151101201
01-11-2015 21:00,1,19,20151101211
01-11-2015 22:00,1,20,20151101221
01-11-2015 23:00,1,15,20151101231
02-11-2015 00:00,1,14,20151102001
02-11-2015 01:00,1,12,20151102011
02-11-2015 02:00,1,14,20151102021
02-11-2015 03:00,1,12,20151102031
02-11-2015 04:00,1,12,20151102041
02-11-2015 05:00,1,11,20151102051
02-11-2015 06:00,1,13,20151102061
02-11-2015 07:00,1,14,20151102071
02-11-2015 08:00,1,12,20151102081
02-11-2015 09:00,1,22,20151102091
02-11-2015 10:00,1,32,20151102101
02-11-2015 11:00,1,31,20151102111
02-11-2015 12:00,1,35,20151102121
02-11-2015 13:00,1,26,20151102131
02-11-2015 14:00,1,34,20151102141
02-11-2015 15:00,1,30,20151102151
02-11-2015 16:00,1,27,20151102161
02-11-2015 17:00,1,27,20151102171
02-11-2015 18:00,1,24,20151102181
02-11-2015 19:00,1,26,20151102191
02-11-2015 20:00,1,29,20151102201
02-11-2015 21:00,1,32,20151102211
02-11-2015 22:00,1,30,20151102221
02-11-2015 23:00,1,27,20151102231
03-11-2015 00:00,1,21,20151103001
03-11-2015 01:00,1,18,20151103011
03-11-2015 02:00,1,19,20151103021
03-11-2015 03:00,1,13,20151103031
03-11-2015 04:00,1,11,20151103041
03-11-2015 05:00,1,11,20151103051
03-11-2015 06:00,1,11,20151103061
03-11-2015 07:00,1,14,20151103071
03-11-2015 08:00,1,15,20151103081
03-11-2015 09:00,1,29,20151103091
03-11-2015 10:00,1,33,20151103101
03-11-2015 11:00,1,32,20151103111
03-11-2015 12:00,1,32,20151103121
03-11-2015 13:00,1,29,20151103131
03-11-2015 14:00,1,27,20151103141
03-11-2015 15:00,1,26,20151103151
03-11-2015 16:00,1,28,20151103161
03-11-2015 17:00,1,26,20151103171
03-11-2015 18:00,1,25,20151103181
03-11-2015 19:00,1,29,20151103191
03-11-2015 20:00,1,26,20151103201
03-11-2015 21:00,1,24,20151103211
03-11-2015 22:00,1,25,20151103221
03-11-2015 23:00,1,20,20151103231
04-11-2015 00:00,1,18,20151104001
04-11-2015 01:00,1,18,20151104011
04-11-2015 02:00,1,13,20151104021
04-11-2015 03:00,1,13,20151104031
04-11-2015 04:00,1,10,20151104041
04-11-2015 05:00,1,12,20151104051
04-11-2015 06:00,1,13,20151104061
04-11-2015 07:00,1,11,20151104071
04-11-2015 08:00,1,13,20151104081
04-11-2015 09:00,1,22,20151104091
04-11-2015 10:00,1,26,20151104101
04-11-2015 11:00,1,27,20151104111
04-11-2015 12:00,1,31,20151104121
04-11-2015 13:00,1,24,20151104131
04-11-2015 14:00,1,23,20151104141
04-11-2015 15:00,1,26,20151104151
04-11-2015 16:00,1,26,20151104161
